시간,6시 이전,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시이후
2019,136.770725,374.338447,974.020858,1724.009602,1133.495383,788.429193,770.073667,820.974913,892.378815,879.971685,937.612176,1046.171216,1263.341532,1752.723248,1250.526885,844.44,789.57616,704.96235,393.70137,106.31167
2020,82.070001,166.16498,202.721098,333.524848,423.702478,399.519982,413.632477,483.639743,534.192682,532.064552,534.907292,569.74854,591.914753,547.378811,436.300376,398.193266,377.103153,322.465486,187.591021,14.778059
2022,110.47165,310.051508,786.118098,1358.809749,864.839171,569.237762,545.213924,592.442167,631.761558,627.027093,680.052435,775.121971,1002.601677,1374.511579,845.411324,568.00206,545.403123,425.674592,220.703148,0
2019평일,154.447396,452.453344,1323.586225,2353.408351,1384.713744,851.281109,786.692419,805.964961,874.138521,861.925917,942.662219,1077.585485,1392.118059,2176.884191,1515.875408,949.735088,883.58604,797.469831,440.429153,143.590663
2019주말,102.006606,220.712485,286.542303,486.192061,639.432606,664.820424,737.390121,850.494485,928.251394,915.461697,927.680424,984.389818,1010.08103,918.540061,728.674788,637.359818,604.690061,523.03097,301.803394,32.996364
2020평일,131.994558,371.17639,1021.940433,1837.404037,1063.185372,556.61261,483.389204,496.061088,548.475102,552.28581,604.771796,689.470509,1027.97876,1729.589789,1128.310298,658.127823,569.36024,486.254418,262.985986,68.108104
2020주말,82.070001,166.16498,202.721098,333.524848,423.702478,399.519982,413.632477,483.639743,534.192682,532.064552,534.907292,569.74854,519.914753,547.378811,436.300376,398.193266,377.103153,322.465486,187.591021,14.778059
2022평일,129.951851,384.932971,1066.530582,1846.369363,1065.284431,618.960956,558.775144,585.528779,623.382879,622.872602,695.397104,817.151075,1155.528596,1751.812691,1031.460558,636.662043,601.152297,472.559116,238.88305,0
2022주말,73.947792,169.57476,260.733101,441.597372,486.967444,473.526459,516.986741,602.601515,644.353676,631.639991,648.117379,693.226586,712.563395,663.849828,495.627915,435.977862,435.210548,337.408843,188.45158,0
2019평일승차,245.056641,529.386071,1633.072912,1999.296518,1132.293744,762.35624,751.880678,805.180401,865.264099,871.118336,984.6151,1159.269954,1537.372696,2416.39057,1323.774114,956.114761,946.882589,796.237658,372.323698,73.149646
2019평일하차,63.838151,375.520616,1014.099538,2707.520185,1637.133744,940.205978,821.50416,806.749522,883.012943,852.733498,900.709337,995.901017,1246.863421,1937.377812,1707.976703,943.355254,820.289492,798.702003,508.534607,214.03168
2019주말승차,164.689697,211.07297,316.070545,515.385697,634.327152,654.069697,719.978061,845.403515,907.692485,902.234182,940.778424,1015.993697,1018.604727,893.838061,718.562303,665.696,623.52897,521.725091,227.555636,6.152
2019주말하차,39.323515,220.352,257.014061,456.998424,644.838061,675.571152,754.802182,855.585455,948.810303,928.689212,914.582424,953.785939,1001.557333,943.242061,738.807273,609.023636,585.851152,524.336848,376.051152,59.840727
2020평일승차,208.69608,428.798128,1241.729081,1555.118549,836.738678,491.523698,465.147104,499.280456,544.125688,556.614336,627.25828,744.103803,1186.818315,1934.133879,985.04921,652.625219,598.472674,482.208602,214.158631,33.110942
2020평일하차,55.293037,313.554652,802.151785,2119.689526,1286.632066,621.701521,501.631305,492.84172,552.824517,547.957285,582.285313,634.837215,869.139204,1525.045699,1271.571387,663.630427,540.247806,490.300234,311.813341,103.105266
2020주말승차,130.855716,164.165694,221.970417,350.967821,413.04736,382.927079,409.839626,488.287531,526.396652,523.619177,539.30375,584.766965,594.970676,534.720254,429.123784,415.86363,384.379266,320.668353,138.154275,1.369664
2020주말하차,33.284287,168.164266,183.471779,316.081874,434.357597,416.112884,417.425328,478.991955,541.988712,540.509926,530.510834,554.730115,588.85883,560.037369,443.476969,380.522901,369.82704,324.262618,237.027767,28.186454
2022평일승차,206.423378,449.710925,1275.044666,1549.295185,841.354577,549.702065,539.216791,586.455151,612.946413,632.318404,731.173592,889.761945,1316.158805,1911.069107,895.807711,654.627826,636.534889,463.897593,155.520164,0
2022평일하차,53.480325,320.155016,858.016498,2143.443541,1289.214286,688.219846,578.333496,584.602407,633.819382,613.426799,659.620616,744.540205,994.898387,1592.556275,1167.113406,618.696261,565.769705,481.22064,322.245937,0
2022주말승차,118.01243,174.699302,293.181248,440.987333,466.421807,457.433882,509.697763,600.93915,626.362732,623.357523,657.265183,713.227892,717.521724,656.656209,482.308038,467.906476,448.222919,329.463123,128.551202,0
2022주말하차,29.883154,164.450219,228.284953,442.207411,507.513082,489.639036,524.275719,604.263881,662.344619,639.922458,638.969575,673.225287,707.605067,671.043447,508.947792,404.049248,422.198177,345.354564,248.351959,0
